id,name,status,truth_class,exact_address,area_or_capacity,tenure,open_close,latitude,longitude,coordinate_confidence,google_earth_search,fixed_fte,mobile_field_fte,annual_2030_cost_eur,primary_function,location_rationale,scaling_trigger,earth_layer
FAC-001,Contern Legacy HQ & Robotics Laboratory,ACTIVE,[REAL]/[ANCHOR]+[SIM],"3 Rue de l’Étang, L-5326 Contern, Luxembourg",535,Leased,2026,,,ADDRESS-LEVEL / coordinate not independently geocoded,"3 Rue de l’Étang, L-5326 Contern, Luxembourg",28,0,550000,"Corporate headquarters, executive office, legacy robotics lab, core engineering, finance/legal, IP and technical governance.","The original RAS site. It is retained because the installed laboratory, test fixtures and institutional history have switching costs. It is deliberately no longer the main scale site.","Keep as leadership/prototyping site through 2033. If fixed headcount exceeds 35, move more administrative staff to FAC-004/005 rather than expanding this building.",01_ACTIVE
FAC-002,Niederanven / Bombicht Micro-Storage (CLOSED),CLOSED in 2028,[REAL]/[ANCHOR]+[SIM],"3, Zone Industrielle Bombicht, L-6947 Niederanven, Luxembourg",15,Leased / historical,2026,,,ADDRESS-LEVEL / coordinate not independently geocoded,"3, Zone Industrielle Bombicht, L-6947 Niederanven, Luxembourg",0,0,0,"Small overflow storage at launch; packaging, low-value spares and archives.",Useful when RAS had only 46 employees and constrained storage; became irrational once FAC-004 and FAC-005 provided scalable warehouse/test space.,Permanently closed; do not reuse the address as an active facility. Historical pin remains in Google Earth.,02_HISTORICAL
FAC-003,LuxConnect DC1.1 Secure Compute / Colocation,ACTIVE / EXPANDED,[REAL]/[ANCHOR]+[SIM],"202, Z.A.E. Wolser F, L-3290 Bettembourg, Luxembourg","20 racks / RAS contracted IT load ~90 kW base, ~100 kW peak",Colocation service,2027,49.504919,6.113522,COORDINATE VERIFIED via PeeringDB / address via LuxConnect,"202, Z.A.E. Wolser F, L-3290 Bettembourg, Luxembourg",0,5,2200000,"Secure training bursts, fleet telemetry ingestion, model evaluation, data retention, disaster recovery and controlled customer-data processing.","RAS does not economically need to own a hyperscale data centre. DC1.1 provides carrier-neutral, redundant power/cooling/security in Luxembourg while preserving variable cloud capacity elsewhere.",Do not increase rack count simply because compute demand rises. First use cloud burst. Add another 10–20 racks only when sustained internal IT load exceeds ~70% of the allocation for two quarters.,01_ACTIVE
FAC-004,Campus Contern Integration & Calibration Campus,ACTIVE,[REAL]/[ANCHOR]+[SIM],"19 Rue Edmond Reuter, L-5326 Contern, Luxembourg",3526,Leased / multi-unit campus footprint,2027,49.5933567,6.2247592,CAMPUS coordinate anchor; exact internal units are [SIM],"19 Rue Edmond Reuter, L-5326 Contern, Luxembourg",92,10,1950000,"Main integration plant: customer FAT/SAT, robot-cell integration, calibration, sensor fusion validation, deployment staging, spare parts and training.","Contern is near Luxembourg airport, Kirchberg and the city, with strong road/public transport access. Campus Contern explicitly supports offices, halls, storage and production-oriented users, making it a better scale environment than the original 535 m² lab.","Expansion trigger is >75% usable-bay occupancy for two consecutive quarters OR >120 employees associated with the site. The correct response is annex space or FAC-005 capacity, not crowding this building.",01_ACTIVE
FAC-005,ROSENFELD Luxembourg Physical Validation & Logistics Campus,ACTIVE,[REAL]/[ANCHOR]+[SIM],"120 Z.A.E. Wolser F, L-3290 Bettembourg, Luxembourg",6200,Owned / long-term financed,2029,49.5081333,6.1110167,ZAE Wolser F corridor coordinate; building-level coordinate is [SIM/PENDING],"120 Z.A.E. Wolser F, L-3290 Bettembourg, Luxembourg",32,12,1850000,"Heavy physical validation, force-control testing, field-service staging, spare-parts warehouse, battery-safe area, vehicle depot, endurance testing and customer acceptance under harsher conditions.","The company outgrew office/industrial mixed space. This site is deliberately separated from the software-heavy campus to isolate noise, load, safety and logistics flows.","At >70% hall utilization or >€30M physical-systems revenue, activate Phase II expansion rather than storing more equipment off-site.",01_ACTIVE
FAC-006,Munich DACH Systems Engineering & Enterprise Center,ACTIVE,[REAL]/[ANCHOR]+[SIM],"Rosenheimer Straße 145, 81671 München, Germany",1300,Leased,2027,48.122452,11.606672,Building/address coordinate anchor,"Rosenheimer Straße 145, 81671 München, Germany",55,8,1350000,"DACH engineering, enterprise sales, solution architecture, low-noise prototyping, customer workshops and German-language deployment management.","The DACH region is strategically important for industrial automation, automotive, machinery and electronics. The real building is an office/loft-style environment near Ostbahnhof and Munich’s evolving Werksviertel industrial-tech district. It is intentionally not used for heavy robotic testing.","At >70 FTE or >80% meeting/lab utilization, add a small annex or dedicated test hall rather than overloading the office building.",01_ACTIVE
FAC-007,Eindhoven Precision Automation & Semiconductor Integration Hub,ACTIVE,[REAL]/[ANCHOR]+[SIM],"BIC 1, 5657 BX Eindhoven, Netherlands; internal RAS unit D09.1 [SIM]",700,Leased,2028,51.4618386,5.4024364,BIC address coordinate anchor; internal unit is [SIM],"BIC 1, 5657 BX Eindhoven, Netherlands; internal RAS unit D09.1 [SIM]",29,5,780000,"Precision automation, sensor/electronics validation, semiconductor-tool customer engineering and Benelux supplier integration.",Brainport Industries Campus is deliberately concentrated around high-tech manufacturing and semiconductor/precision supply chains. That ecosystem fit is more valuable than a generic Amsterdam office.,"If semiconductor-related revenue exceeds €35M or 40 FTE, consider a second light-industrial hall rather than expanding inside standard office space.",01_ACTIVE
FAC-008,Pittsburgh Advanced Robotics & Manipulation Laboratory,ACTIVE,[REAL]/[ANCHOR]+[SIM],"Mill 19, Building A, 4501 Lytle Street, Pittsburgh, PA 15207, USA; internal P-19-A-RAS [SIM]",900,Leased,2028,40.41598,-79.94851,Building coordinate anchor,"Mill 19, Building A, 4501 Lytle Street, Pittsburgh, PA 15207, USA; internal P-19-A-RAS [SIM]",42,8,950000,"Manipulation, compliant control, advanced manufacturing, physical AI research and North American technical partnerships.",Mill 19 is an adaptive-reuse advanced-manufacturing environment with CMU’s Manufacturing Futures Institute and associated robotics ecosystem. The building itself supports the type of industrial research RAS needs more credibly than a conventional office tower.,"If RAS manipulation research exceeds 60 FTE, expand on the Hazelwood/second Pittsburgh industrial cluster rather than filling Mill 19 beyond safe density.",01_ACTIVE
FAC-009,Detroit Automotive & Industrial Deployment Center,ACTIVE,[REAL]/[ANCHOR]+[SIM],"Michigan Central, 1907 Michigan Avenue, Detroit, MI 48216, USA; internal MC-RAS-02 [SIM]",1200,Leased,2028,42.33099,-83.073,Address-level / map-derived coordinate; exact internal suite [SIM],"Michigan Central, 1907 Michigan Avenue, Detroit, MI 48216, USA; internal MC-RAS-02 [SIM]",37,15,1050000,"Automotive deployments, field-service management, fleet staging, customer training and integration with vehicle/manufacturing ecosystem.","Michigan Central is a real innovation/industrial campus built around mobility, connectivity and advanced manufacturing. It gives RAS proximity to OEMs and Tier-1/Tier-2 suppliers while complementing, rather than duplicating, Pittsburgh research.","If >55 regional FTE or >20 simultaneous field projects, add an industrial field depot elsewhere in metro Detroit rather than expanding office/demonstration space.",01_ACTIVE
FAC-010,Tokyo APAC Strategic Accounts & Customer Engineering Office,ACTIVE,[REAL]/[ANCHOR]+[SIM],"Otemachi One, 1-2-1 Otemachi, Chiyoda-ku, Tokyo 100-0004, Japan; internal O1-RAS [SIM]",500,Leased,2029,35.687563,139.763205,Building coordinate anchor,"Otemachi One, 1-2-1 Otemachi, Chiyoda-ku, Tokyo 100-0004, Japan; internal O1-RAS [SIM]",14,8,620000,"APAC enterprise sales, Japanese customer engineering, partner management, localization and executive relations.",Otemachi is a high-density corporate district directly connected to Otemachi Station and close to Tokyo Station. RAS needs executive access and customer engineering more than a large industrial lab in Tokyo.,Add a separate technical warehouse/lab only if APAC deployment volume exceeds 15 large sites or >25 FTE are field-based in Japan.,01_ACTIVE
